East;North;RSS;Time;Accelerometer X ;Accelerometer Y ;Accelerometer Z ;Sunload;Lane;Receiver  Angle;Distance;Turbulence;Transmit Power Ref;Path Loss
2904.5813;4112.5645;-1.953688979;15:01:10.035;-0.01953125;0.05078125;1.00390625;0.366210975;2;30;3.716971508;1;4.168313503;6.122002482
2904.5813;4112.5645;2.057857275;15:01:11.035;0.01171875;0.0859375;0.9765625;0.366210975;2;30;3.716971508;1;4.168313503;2.110456228
2904.5813;4112.564;-34.51272202;15:02:44.085;0.0546875;0.01953125;0.99609375;0.375976601;2;30;2.79382317;1;4.168313503;38.68103552
2904.5813;4112.564;-31.71740723;15:02:45.085;0.01953125;0.046875;0.93359375;0.375976601;2;30;2.79382317;1;4.168313503;35.88572073
2904.5813;4112.563;-36.9107399;14:55:54.396;0.05078125;0.03125;1.05859375;0.39062504;2;0;0.967670326;0;4.168313503;41.0790534
2904.5813;4112.563;-34.68063354;14:55:55.396;-0.0390625;0.0234375;0.984375;0.39062504;2;0;0.967670326;0;4.168313503;38.84894704
2904.5813;4112.564;-32.07250214;14:55:56.396;0.0546875;0.0234375;0.94921875;0.385742227;2;0;2.79382317;1;4.168313503;36.24081564
2904.5813;4112.564;-28.92091179;14:55:57.395;-0.01953125;0.0390625;0.94921875;0.385742227;2;0;2.79382317;1;4.168313503;33.08922529
2904.5813;4112.5645;-25.13762283;14:55:58.395;-0.02734375;0.06640625;1.015625;0.385742227;2;0;3.716971508;1;4.168313503;29.30593633
2904.5813;4112.5645;-20.64304733;14:55:59.395;0;0.046875;0.97265625;0.39062504;2;0;3.716971508;1;4.168313503;24.81136083
2904.5813;4112.5625;-39.98319244;14:51:58.585;0.03125;0.02734375;0.93359375;0.39062504;2;0;0.27884245;1;4.168313503;44.15150594
2904.5813;4112.5625;-37.520401;14:51:59.585;0.0625;0.00390625;0.98828125;0.39062504;2;0;0.27884245;1;4.168313503;41.6887145
2904.5813;4112.5635;-5.490523338;14:52:08.586;0.01953125;0.046875;0.98828125;0.385742227;2;0;1.874108888;0;4.168313503;9.658836841
2904.5813;4112.5635;-5.546048164;14:52:09.586;-0.00390625;0.09765625;0.98046875;0.385742227;2;0;1.874108888;0;4.168313503;9.714361667
2904.5813;4112.5635;-37.772789;14:53:42.585;-0.03515625;0.03515625;0.9921875;0.395507853;2;0;1.874108888;1;4.168313503;41.9411025
2904.5813;4112.5635;-35.07186127;14:53:43.585;-0.01171875;0.0234375;0.98046875;0.39062504;2;0;1.874108888;1;4.168313503;39.24017477
2904.5813;4112.5645;-31.97770119;14:53:44.585;-0.02734375;0.01953125;0.96875;0.395507853;2;0;3.716971508;1;4.168313503;36.14601469
2904.5813;4112.5645;-28.25889397;14:53:45.585;-0.01953125;0.046875;1.00390625;0.395507853;2;0;3.716971508;1;4.168313503;32.42720747
2904.5813;4112.5645;-24.00438499;14:53:46.586;-0.02734375;0.05859375;0.9921875;0.39062504;2;0;3.716971508;1;4.168313503;28.17269849
